url,site,document,documenttype,postdate,likes,dislike,comment_cnt,views,boardcategory,documentcategory
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=멜론,미니기기코리아,음악 자주듣는건 아니고 잘해봐야 가끔 운전할때 차트 100곡 트는지라 네이버플러스에 딸려오는 바이브로 버티고 있었는데 네이버플러스에 바이브가 곧 사라지네요;; 음원서비스 어디로 옮길까요..,nan,2023.09.02. 10:33,1,nan,18,645,IT+,음향
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=멜론,미니기기코리아,어무니께서 s10 5g를 쓰고 계셨는데...슬슬 바꿔드릴때도 됐겠다ㅡ 폰이 무겁다고 불편하다고 하셔서 s23노말 화이트로 바꿔드렸었습니다.. 한창 잘 쓰시는 줄 알았는데... 어제 대뜸 너무 폰이 작아서 카톡을 하실때 오타가 많이 나신다며...다음부터는 큰걸로 바꿔달라시기에... 이래저래 이유가 있어서 제가 사두었던 a34 멜론색 공기계와 s23을 교체해 드렸습니다. 너무 좋다고 하시네요 (....) 그리고 그 s23 기기는 지금 제 서랍장 위에 놓여 있습니다. 일주일 정도 기다렸다가 어무니 별 말씀 없으시면 초기화하고 제가 세컨폰으로 써야겠네요 하핫,nan,2023.08.20. 07:39,6,nan,4,978,IT+,미니
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=멜론,미니기기코리아,"라이엇 게임즈가 글로벌 아티스트 뉴진스(NewJeans)와 함께 2023 LoL 월드 챔피언십 주제곡 GODS의 티저 영상을 오늘(27일) 공개했다. 2023 LoL 월드 챔피언십은 10월 10일(화) 개막하며 5년 만에 한국에서 열리는 대회를 기념해 Hype boy, OMG, Super Shy 등으로 알려진 그룹 뉴진스(NewJeans)가 주제곡의 보컬을 맡는다. 뉴진스는 케이팝 그룹 완전체로는 처음이자 단독으로 LoL 월드 챔피언십 주제곡에 참여한다. 라이엇 게임즈는 2014년부터 이매진 드래곤스(Imagine Dragons), 릴 나스 엑스(Lil Nas X) 등 정상급 아티스트들과 함께 Warriors(2014), RISE(2018), STAR WALKIN(2022) 등 다양한 테마의 주제곡을 선보이며 올해로 주제곡 공개 10주년을 맞이했다. GODS는 라이엇 게임즈 수석 작곡가 세바스찬 나잔드(Sebastien Najand)와 Legends Never Die, RISE, 장편 애니메이션 시리즈 아케인(ARCANE) OST 등에 참여한 그룹 마코(Mako)의 알렉스 시버(Alex Seaver)가 함께 구상했다. 뮤직비디오는 중요한 것은 꺾이지 않는 마음으로 화제가 된 데프트 김혁규의 지난 대회 도전기를 담는다. 플레이어들은 2023 LoL 월드 챔피언십 주제곡 GODS의 티저 영상을 LoL 공식 유튜브 채널에서 확인할 수 있다. 뮤직비디오와 음원은 10월 4일(수) 오후 2시 LoL 공식 유튜브 채널과 멜론, 지니, 벅스, 스포티파이 등 주요 음원사이트에서 감상할 수 있다. 728x90 기사 더 읽기",nan,2023.09.28. 10:45,0,nan,0,316,IT+,소식
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=멜론,미니기기코리아,"음질이나 곡 종류 같은 복잡한 거 신경 안 쓰고 모든 면에서 무난하게 듣고 싶다- 유튜브 뮤직 해외/국내를 적당히 섞어 들으며 추천 기능이나 연동성을 중시- 스포티파이 애플 서비스를 쓰고 있는데 깔끔하게 통일하고 싶다 - 애플 뮤직 음질 몰빵 - 타이달 국내 위주로 싹싹 훑어서 많이 듣는다 - 멜론, 벅스 등 국내 서비스 가 아닐까 싶습니다 저는 유튜브 뮤직 쓰다가 스포티파이 무료체험 3개월 쓰는 중인데 스포티파이 계속 쓸 생각입니다",nan,2023.09.02. 11:11,3,nan,2,652,IT+,음향
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=멜론,미니기기코리아,"<지니뮤직> 가사 등록이 잘 돼 있다. 앱사용감이 별로다. 비슷한 음원 추천이 별로다. (kt, kt알뜰폰(4개 요금제) 제휴) <멜론> 가사 등록이 별로다. 비슷한 음원 추천이 잘 돼 있다. 삼성뮤직앱 내 구동 가능. (skt, kt알뜰폰(2개 요금제) 제휴) <네이버vibe> 가사 등록이 별로다. 가사번역이 지원 되고 번역이 괜찮다. 비슷한 음원 추천이 별로다(없던가..?). (u플러스 제휴)",nan,2023.10.13. 10:38,1,nan,4,469,IT+,음향
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=멜론,미니기기코리아,오늘 통녹이 풀려서 고마운 SKT 지만 저는 또 고마운게 하나 더 있습니다. 전설의 멜론 프리티켓 공동 프로모션 오늘 또 한 달 만에 인증하는날이라 찍어보았습니다 평생(아마 3G 종료날까지겠죠?)가자 ^^ 후... 월 2200원 멜론 만세! (선약+온가족),nan,2023.10.24. 23:15,10,nan,10,1850,IT+,미니
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=멜론,미니기기코리아,역시 멜론이 가장 큰 문제였었네요 이제야 보편적인 화면켜짐 시간이 나와요 지금도 배터리 많이 먹지만 직전이랑 비교하면 훨씬 덜 빠지는 수준이네요 15.6이랑 뭔가 안 맞았었나봅니다 공초를 몇번을 해도 해결이 안 됐었는데 펌업 한방에... 멜론을 포기할 수가 없어서 그냥 화면켜짐 5~6시간 나와도 참고 썼었는데 이제야 쓸 맛이 좀 나네요,nan,2022.08.19. 22:14,0,nan,1,460,IT+,미니
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=멜론,미니기기코리아,음악스트리밍서비스가 없는게 아쉬웠습니다. 유튜브 광고 보고 음악듣고 하는데 좀 불편했습니다. 멜론 hifi를 체험할수 있게 했으면 좋을것같네요,nan,2022.08.12. 19:23,1,nan,3,488,IT+,미니
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=멜론,미니기기코리아,"아직 유튜브 프리미엄이고 스트리밍이고 아무것도 가입 안 한 상황입니다 음악을 자주 듣는지라 스트리밍 서비스 하나 정도 가입할까 싶은데 뭘 써야 할지 모르겠네요 유튜브 프리미엄으로 오는 유튜브 뮤직을 그냥 쓸 것이냐 추천 알고리즘이 좋은 스포티파이를 쓸 것이냐 국내 음원에 유리한 벅스 멜론 뭐 이런데에서 쓸 것이냐 이래저래 고민입니다 애플뮤직도 괜찮다는데 저는 안드+윈도우라 애플 기기를 볼 일이 없고.... 어떤 서비스가 가장 괜찮을까요? 혹시 추천하시는 서비스가 있다면 그 이유도 알 수 있을까요? var poll_alert_lang = ""설문에 응할 항목을 선택하여 주세요. (설문조사 마다 필수 선택항목이 다를 수 있습니다.)""; var poll_checkcount_lang = ""필수 항목 수""; var poll_member_lang = ""%s 항목을 선택한 사용자""; jQuery(document).ready(function() { var data = {""caniadditem"":false,""poll"":{""is_polled"":1,""poll_count"":50,""poll_type"":2,""stop_date"":""2022-10-16"",""poll"":{""36033384"":{""poll_index_srl"":36033384,""title"":""\uc2a4\ud2b8\ub9ac\ubc0d \uc11c\ube44\uc2a4 \ucd94\ucc9c \ubc1b\uc2b5\ub2c8\ub2e4"",""checkcount"":1,""poll_count"":50,""item"":[{""poll_item_srl"":36033385,""poll_index_srl"":36033384,""title"":""\uc720\ud29c\ube0c \ubba4\uc9c1"",""poll_count"":17,""add_user_srl"":0,""my_item"":false},{""poll_item_srl"":36033386,""poll_index_srl"":36033384,""title"":""\uc2a4\ud3ec\ud2f0\ud30c\uc774"",""poll_count"":14,""add_user_srl"":0,""my_item"":false},{""poll_item_srl"":36033387,""poll_index_srl"":36033384,""title"":""\uc560\ud50c\ubba4\uc9c1"",""poll_count"":5,""add_user_srl"":0,""my_item"":false},{""poll_item_srl"":36033388,""poll_index_srl"":36033384,""title"":""\ubc85\uc2a4"",""poll_count"":5,""add_user_srl"":0,""my_item"":false},{""poll_item_srl"":36033389,""poll_index_srl"":36033384,""title"":""\uba5c\ub860"",""poll_count"":4,""add_user_srl"":0,""my_item"":false},{""poll_item_srl"":36033755,""poll_index_srl"":36033384,""title"":""\uc9c0\ub2c8"",""poll_count"":3,""add_user_srl"":25923669,""my_item"":false},{""poll_item_srl"":36034090,""poll_index_srl"":36033384,""title"":""\ubc14\uc774\ube0c"",""poll_count"":2,""add_user_srl"":35378388,""my_item"":false}]}},""poll_srl"":36033383}}; if (data.poll.is_polled == 0) { loadRxSmplPoll(36033383,data); } else { loadRxSmplPollResult(36033383,data); } }); {{#each questions as |question questionid|}} <div class=""poll_vote""> <input type=""hidden"" name=""checkcount_{{question.poll_index_srl}}"" value=""{{question.checkcount}}"" /> <div class=""title"">Q : {{question.title}}</div> {{#if question.isMultipleChoice}} <div class=""checkcount""> 필수 항목 수 : {{question.checkcount}} </div> {{/if}} {{#each question.items as |item itemid|}} <div class=""poll_item""> <label for=""item_{{item.poll_item_srl}}""> {{#if question.isMultipleChoice}} <input type=""checkbox"" name=""item_{{question.poll_srl}}_{{question.poll_index_srl}}"" value=""{{item.poll_item_srl}}"" id=""item_{{item.poll_item_srl}}"" /> {{else}} <input type=""radio"" name=""item_{{question.poll_srl}}_{{question.poll_index_srl}}"" value=""{{item.poll_item_srl}}"" id=""item_{{item.poll_item_srl}}"" /> {{/if}} {{item.title}} </label> {{#if item.my_item}} <input type=""button"" value=""x"" title=""항목 삭제"" onclick=""deleteRxSmplItem({{question.poll_srl}},{{question.poll_index_srl}},{{item.poll_item_srl}}); return false;"" class=""btn poll_item_delete"" /> {{/if}} </div> {{/each}} {{#if question.additem}} <div class=""poll_item_add""> <input type=""text"" name=""new_item"" id=""new_item_{{question.poll_index_srl}}"" class=""poll_item_add"" placeholder=""항목을 추가할 수 있습니다."" /> <input type=""button"" value=""+"" title=""항목 추가"" onclick=""addRxSmplItem({{question.poll_srl}},{{question.poll_index_srl}}); return false;"" style=""float: right;"" class=""btn poll_item_add"" /> </div> {{/if}} </div> {{/each}} 설문조사 종료일: {{#each questions as |question questionid|}} <div class=""title"">{{question.title}} ({{question.poll_count}})</div> {{#each question.items as |item itemid|}} <div class=""rx_poll_smpl_item""> <div class=""item_text""> {{#if question.showMembers}} <strong>{{item.number}}</strong> <a href=""#"" onclick=""showRxSmplPollMember({{question.poll_srl}},{{item.poll_item_srl}});return false;"">{{item.title}}</a> {{else}} <strong>{{item.number}}</strong> {{item.title}} {{/if}} </div> <div class=""item_bar""> {{#if item.isVote}} <div class=""item_bar"" title=""{{item.per}}%"" style=""width:{{item.per}}%;height:22px;"">&nbsp;</div> {{else}} <div class=""item_bar"" style=""width:1px;height:22px;"">&nbsp;</div> {{/if}} <div class=""item_bar_text"">{{item.poll_count}}</strong> ({{item.per}}%)</div> </div> </div> {{/each}} {{/each}} {{#each members as |member memberid|}} {{#if member.isImage}} <li><img src=""{{member.profile_image}}"" width=""16"" height=""16"" /> <a href=""#popup_menu_area"" class=""member_{{member.member_srl}}"" onclick=""return false"">{{member.nick_name}}</a></li> {{else}} <li><img class=""dummy"" src=""{{dummy_profile}}"" width=""16"" height=""16"" /> <a href=""#popup_menu_area"" class=""member_{{member.member_srl}}"" onclick=""return false"">{{member.nick_name}}</a></li> {{/if}} {{/each}} {{#if isPage}} <input type=""button"" id=""btn_load_more_{{poll_item_srl}}"" value=""더보기"" onclick=""showRxSmplPollMemberNext({{poll_srl}},{{poll_item_srl}});return false;"" style=""width:100%;"" class=""btn"" /> {{/if}} 설문조사 종료일: 2022-10-16 참가자: 50 스트리밍 서비스 추천 받습니다 (50) 1 유튜브 뮤직 17 (34%) 2 스포티파이 14 (28%) 3 애플뮤직 5 (10%) 4 벅스 5 (10%) 5 멜론 4 (8%) 6 지니 3 (6%) 7 바이브 2 (4%)",nan,2022.09.16. 00:37,0,nan,9,632,IT+,미니
https://meeco.kr/?_filter=search&act=&vid=&mid=ITplus&category=&search_target=title_content&search_keyword=멜론,미니기기코리아,"현재 24비트 음원 서비스 지원하는 타이달, 멜론, 애플 뮤직 같은 거에 연결하면 바로 고음질 24비트로 들을 수 있는 건가요? 오토 스위치처럼 별도로 앱 지원이 필요한 게 아닌 건지 궁금하네용",nan,2022.08.21. 20:27,1,nan,9,850,IT+,미니
